name,platform,score,users,cluster,distance_from_centroid
Transformers: Dark of the Moon - Stealth Force Edition,Nintendo,34,6,1,2.002857344788266
You Are Empty,PC,34,81,1,1.764535209027451
The Shield: The Game,PC,34,8,1,1.7646082630162239
Fast & Furious Crossroads,PC,34,50,1,1.763951845666487
Chicago Enforcer,Xbox,33,5,1,2.0820996780408016
Shrek: Super Party,Xbox,33,13,1,2.0818657679802834
The Incredible Hulk,PC,33,37,1,1.841369715321461
X Rebirth,PC,33,1307,1,2.457635395401685
Demonworld: Dark Armies,PC,33,4,1,1.842117366081377
Mistmare,PC,33,12,1,1.8418457471957754
Target: Terror,Nintendo,33,17,1,2.071042488820732
Iron Man,PC,32,66,1,1.9191124080326456
Bruce Lee: Quest of the Dragon,Xbox,32,11,1,2.150852160654398
Rekoil,PC,32,45,1,1.9189313056294215
Zombeer,PC,32,23,1,1.9191519741976109
Land of the Dead: Road to Fiddler's Green,Xbox,32,12,1,2.1508257932678134
New World Order,PC,32,6,1,1.9196100319286007
Coliseum,PC,32,23,1,1.9191519741976109
Kabuki Warriors,Xbox,32,11,1,2.150852160654398
Pool Party,Nintendo,32,9,1,2.1405281696084026
The Simpsons Wrestling,PlayStation,32,29,1,2.209056115198609
The Asskickers,PC,31,7,1,1.9973227920558165
Forever Worlds - Enter the Unknown,PC,31,6,1,1.9973553539649465
CID The Dummy,Nintendo,31,6,1,2.2106032690318407
Big Oil: Build an Oil Empire,PC,31,7,1,1.9973227920558165
Robocop,Xbox,30,18,1,2.290685871790298
Crime Life: Gang Wars,Xbox,30,13,1,2.2907951200145935
MTV's Celebrity Deathmatch,PC,30,18,1,2.074936709843791
Tunnel Rats: 1968,PC,30,23,1,2.074836158085856
Hoodwink,PC,29,7,1,2.153276048917381
Game Party 2,Nintendo,29,9,1,2.352378793348175
Rogue Warrior,PC,29,147,1,2.15667686681539
Wild West Online,PC,29,49,1,2.152705663090075
Sneakers,Xbox,28,11,1,2.433261973430503
American McGee Presents Bad Day LA,PC,28,91,1,2.231666084606993
Mortal Kombat: Special Forces,PlayStation,28,34,1,2.484812592781212
Raven's Cry,PC,27,128,1,2.3116519280475383
Chicken Shoot,Nintendo,27,31,1,2.4960188376477075
Looney Tunes: Acme Arsenal,Nintendo,27,18,1,2.496201467917099
Fray,PC,27,29,1,2.3093019010810427
Druuna: Morbus Gravis,PC,26,7,1,2.38813037644223
Stake: Fortune Fighters,Xbox,26,6,1,2.57782392389302
HBO Boxing,PlayStation,26,5,1,2.626900382917852
Charlie and the Chocolate Factory,PC,26,19,1,2.3878579413456738
R.I.P.D. The Game,PC,26,69,1,2.387803532258271
R.I.P.D. The Game,PC,26,69,1,2.387803532258271
KISS Pinball,PlayStation,26,7,1,2.626850232314763
Aquaman: Battle for Atlantis,Xbox,26,16,1,2.5776006851718205
Survivor (2001),PC,26,15,1,2.3879376002250425
Jenga World Tour,Nintendo,26,11,1,2.5690500386763966
World War II Combat: Iwo Jima,PC,26,13,1,2.387981612206942
Game Party,Nintendo,25,31,1,2.6418561547583734
Dragon Ball Z: Ultimate Battle 22,PlayStation,25,58,1,2.6979891827384375
Call for Heroes: Pompolic Wars,PC,25,20,1,2.4663333864148718
Batman: Dark Tomorrow,Xbox,25,19,1,2.6504276201712385
Stalin vs. Martians,PC,25,66,1,2.46625386721917
Cruis'n,Nintendo,25,20,1,2.6419952263368063
Terrawars: New York Invasion,PC,24,10,1,2.5451107993836724
Postal III,PC,24,300,1,2.565789704845168
Pulse Racer,Xbox,24,17,1,2.7237329251264866
FlatOut 3: Chaos & Destruction,PC,23,296,1,2.6431864255104527
Drake of the 99 Dragons,Xbox,22,41,1,2.871095135573593
Infestation: Survivor Stories (The War Z),PC,20,3970,2,5.351309575713664
Leisure Suit Larry: Box Office Bust,PC,20,40,1,2.8597398032740036
Alone in the Dark: Illumination,PC,19,134,1,2.940850363689703
SPOGS Racing,Nintendo,18,22,1,3.162926998612638
Ride to Hell: Retribution,PC,16,581,1,3.2499205625705554
